,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,bar_volatility,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
73,binance,btc,2024-02-06 19:51:00+00,2024-02-06 03:10:00+00,2024-02-06 19:51:00+00,42917.5,43378.8,42631.0,43196.3,154536.669,6641829421.45,42978.987,0.34029674,1001,1002,0.006496,0.017424,0.755951,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
74,binance,btc,2024-02-07 16:45:00+00,2024-02-06 19:52:00+00,2024-02-07 16:45:00+00,43196.3,43314.9,42763.4,43138.9,135981.0,5851976590.77,43035.252,0.34068396,1253,1254,-0.001329,0.012767,0.68087,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
75,binance,btc,2024-02-08 06:53:00+00,2024-02-07 16:46:00+00,2024-02-08 06:53:00+00,43138.9,44795.1,43111.5,44469.9,207871.795,9162200076.17,44076.206,0.34058332,847,848,0.030854,0.039027,0.806842,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
76,binance,btc,2024-02-08 20:16:00+00,2024-02-08 06:54:00+00,2024-02-08 20:16:00+00,44470.0,45584.4,44405.0,45547.2,200107.951,9009300987.07,45022.204,0.34131074,802,803,0.024223,0.026521,0.968459,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
77,binance,btc,2024-02-09 09:30:00+00,2024-02-08 20:17:00+00,2024-02-09 09:30:00+00,45547.2,46745.4,45200.0,46529.3,182117.564,8377041266.58,45997.987,0.34136749,793,794,0.021562,0.03393,0.860166,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
78,binance,btc,2024-02-09 17:49:00+00,2024-02-09 09:31:00+00,2024-02-09 17:49:00+00,46529.3,47699.5,46486.3,47517.3,253272.207,11938288569.07,47136.197,0.34085256,498,499,0.021234,0.026074,0.849819,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
79,binance,btc,2024-02-10 08:11:00+00,2024-02-09 17:50:00+00,2024-02-10 08:11:00+00,47517.3,48230.3,47020.1,47219.0,153705.685,7304936510.7,47525.48,0.34079066,861,862,-0.006278,0.025469,0.164353,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
80,binance,btc,2024-02-11 00:09:00+00,2024-02-10 08:12:00+00,2024-02-11 00:09:00+00,47219.0,48189.6,46836.4,47641.5,140896.743,6687506329.25,47463.882,0.34074001,957,958,0.008948,0.028658,0.59496,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
81,binance,btc,2024-02-11 16:10:00+00,2024-02-11 00:10:00+00,2024-02-11 16:10:00+00,47641.5,48600.0,47539.4,48164.9,152723.397,7355708009.05,48163.596,0.34080545,960,961,0.010986,0.022262,0.589761,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
82,binance,btc,2024-02-12 08:23:00+00,2024-02-11 16:11:00+00,2024-02-12 08:23:00+00,48164.9,48846.0,47702.0,48173.4,145804.008,7034489399.97,48246.2,0.34087876,972,973,0.000176,0.023752,0.412063,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
83,binance,btc,2024-02-12 18:02:00+00,2024-02-12 08:24:00+00,2024-02-12 18:02:00+00,48173.3,50413.2,47711.0,49959.9,283326.996,13942125444.07,49208.602,0.34142314,578,579,0.037087,0.056093,0.832248,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
84,binance,btc,2024-02-13 07:56:00+00,2024-02-12 18:03:00+00,2024-02-13 07:56:00+00,49959.9,50428.8,49501.2,50015.1,140896.776,7041671057.04,49977.52,0.34120015,833,834,0.001105,0.018567,0.55401,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
85,binance,btc,2024-02-13 16:46:00+00,2024-02-13 07:57:00+00,2024-02-13 16:46:00+00,50015.0,50290.0,48356.0,48572.5,223124.118,10999356550.35,49297.031,0.34119166,529,530,-0.028841,0.038668,0.111944,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
86,binance,btc,2024-02-14 06:41:00+00,2024-02-13 16:47:00+00,2024-02-14 06:41:00+00,48572.4,49783.5,48301.0,49616.4,133098.67,6550606824.5,49216.17,0.34134658,834,835,0.021494,0.030521,0.887285,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
87,binance,btc,2024-02-14 14:53:00+00,2024-02-14 06:42:00+00,2024-02-14 14:53:00+00,49616.4,52100.0,49550.7,51884.7,229324.088,11746747545.89,51223.35,0.34198339,491,492,0.045717,0.05138,0.915545,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
88,binance,btc,2024-02-15 01:13:00+00,2024-02-14 14:54:00+00,2024-02-15 01:13:00+00,51884.7,52568.3,51217.7,52087.4,168361.325,8720242580.56,51794.81,0.34141634,619,620,0.003907,0.026031,0.643936,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
